state,wind_cap_2012,wind_cap_2018,wind_cap_2024,wind_cap_2030,total_mwh_2014,total_mw_2014,mw_from_wind
AK,null,null,null,null,6042830,689.82,62
AL,0,0,0,0,149340447,17048.00,0
AR,0,0,100,100,61592137,7031.07,0
AZ,100,1000,1000,1000,112257187,12814.75,268
CA,5000,5000,10000,10000,198807622,22694.93,6108
CO,100,1000,1000,1000,53847386,6146.96,2992
CT,0,0,0,0,33676980,3844.40,5
DC,null,null,null,null,67612,7.72,null
DE,0,0,100,100,7703584,879.40,null
FL,0,0,1000,5000,230015937,26257.53,0
GA,0,0,0,100,125837224,14364.98,0
HI,null,null,null,null,10204158,1164.86,203
IA,0,5000,10000,10000,56853282,6490.10,6212
ID,100,1000,1000,1000,15184417,1733.38,973
IL,100,1000,5000,10000,202143878,23075.79,3842
IN,0,0,1000,5000,115395392,13172.99,1895
KS,1000,1000,5000,5000,49728363,5676.75,3766
KY,0,0,100,100,90896435,10376.31,0
LA,0,0,0,0,104229402,11898.33,0
MA,100,1000,1000,5000,31118591,3552.35,107
MD,100,100,1000,1000,37833652,4318.91,190
ME,100,1000,1000,1000,13248710,1512.41,613
MI,100,1000,10000,10000,106816991,12193.72,1531
MN,1000,1000,5000,5000,56998330,6506.66,3235
MO,100,100,100,100,87834468,10026.77,459
MS,0,0,0,0,55127092,6293.05,0
MT,1000,1000,1000,5000,30257616,3454.07,665
NC,100,1000,5000,10000,128143588,14628.26,0
ND,1000,1000,1000,1000,36462508,4162.39,2143
NE,100,5000,5000,5000,39431291,4501.29,890
NH,0,100,100,100,19538395,2230.41,185
NJ,0,1000,5000,5000,68051086,7768.39,9
NM,1000,1000,1000,5000,32306210,3687.92,1080
NV,1000,1000,1000,5000,36000537,4109.65,152
NY,100,1000,1000,1000,137122202,15653.22,1749
OH,0,0,0,0,134476405,15351.19,443
OK,1000,10000,10000,10000,70155504,8008.62,5184
OR,1000,1000,5000,5000,60119907,6863.00,3153
PA,100,1000,1000,1000,221058365,25234.97,1340
RI,0,100,100,100,6281748,717.09,9
SC,0,100,100,1000,97158465,11091.15,0
SD,1000,1000,5000,5000,10995240,1255.16,977
TN,100,100,1000,1000,79506886,9076.13,29
TX,5000,10000,10000,10000,437629668,49957.72,17713
UT,100,1000,1000,1000,43784526,4998.23,327
VA,100,1000,5000,5000,77137438,8805.64,0
VT,0,100,100,100,7031394,802.67,119
WA,1000,1000,5000,5000,116334363,13280.18,3075
WI,0,100,1000,1000,61064796,6970.87,648
WV,100,1000,1000,1000,81059577,9253.38,583
WY,1000,1000,5000,10000,49696183,5673.08,1410
