state,region,installed_capcity_mw,state_rank,capacity_under_construction_mw,projects_online,num_turbines,in_state_energy_production_2014,us_homes_powered,wind_jobs_2014,facilities,project_invest,land_lease_total_million,water_savings_gallons,bottles_water_saved,co2_avoided_metric_tons,cars_worth
washington,west,3075,9,0,20,1725,0.063,666000,3000,9,5800000000,9200000,1200000000,8900000000,2400000,519000
oregon,west,3153,8,50,26,1837,0.1269,695000,2000,10,6200000000,9500000,758400000,5700000000,1400000,307000
california,west,6108,3,0,124,11990,0.0697,1300000,3000,15,11700000000,17800000,3400000000,25600000000,7800000,1700000
nevada,west,152,32,0,1,66,0.083,28000,100,0,280000000,460000,347600000,2600000000,613000,130000
arizona,southwest,268,28,0,5,144,0.042,43000,500,7,490000000,710000,222000000,1700000000,2400000,519000
new mexico,southwest,1080,17,330,14,729,0.0704,207000,1000,0,1400000000,2400000,233300000,1800000000,390000,83000
texas,southwest,17713,1,5026,118,10403,0.09,3600000,18000,46,26300000000,42500000,13100000000,99300000000,25100000,5300000
utah,west,327,27,144,4,177,0.0153,61000,500,1,700000000,980000,1600000000,12500000000,2700000,579000
colorado,west,2992,10,0,24,1916,0.1361,674000,7000,23,4800000000,7800000,4600000000,34700000000,8400000,1800000
wyoming,west,1410,15,0,21,960,0.0894,405000,500,0,2600000000,4200000,1800000000,13600000000,3300000,695000
idaho,west,973,19,0,16,541,0.1831,255000,500,3,1900000000,2900000,125100000,947000000,259000,55000
montana,west,665,21,240,14,466,0.065,180000,500,1,1200000000,2000000,937300000,7100000000,1600000,349000
north dakota,midwest,2143,11,200,24,1177,0.1758,582000,3000,4,3700000000,5700000,1500000000,11700000000,2800000,595000
south dakota,midwest,977,18,0,15,583,0.2529,267000,1000,7,1600000000,2400000,246300000,1900000000,451000,96000
nebraska,midwest,890,20,436,16,520,0.0691,251000,2000,1,1500000000,2400000,1900000000,14700000000,3200000,690000
kansas,midwest,3766,6,353,30,2145,0.2167,994000,2000,5,5500000000,8900000,2500000000,18700000000,4500000,957000
oklahoma,southwest,5184,4,695,34,2790,0.1687,1100000,5000,7,7000000000,11400000,3500000000,26600000000,6900000,1500000
minnesota,midwest,3235,7,429,95,2257,0.1594,831000,2000,24,5700000000,9100000,2800000000,21200000000,4900000,1000000
iowa,midwest,6212,2,190,100,3658,0.2853,1500000,7000,12,10000000000,17100000,3500000000,26500000000,5900000,1300000
missouri,midwest,459,25,0,6,252,0.0128,104000,1000,10,960000000,1400000,6200000000,47200000000,9900000,2100000
arkansas,southeast,0,9999,0,1,9999,0,9999,1000,4,9999,9999,600500000,4500000000,957000,204000
louisiana,southeast,0,9999,0,0,9999,0,9999,500,3,9999,9999,488500000,3700000000,975000,207000
mississippi,southeast,0,9999,0,0,9999,0,9999,100,2,9999,9999,158800000,1200000000,310000,66000
tennessee,southeast,29,36,0,2,18,0.0006,5000,100,10,33000000,90000,351600000,2700000000,602000,128000
kentucky,southeast,0,9999,0,0,9999,0,9999,500,11,9999,9999,371900000,2800000000,579000,123000
illinois,midwest,3842,5,250,46,2348,0.0498,924000,4000,39,7200000000,10700000,4500000000,34300000000,7600000,1600000
wisconsin,midwest,648,22,0,18,417,0.0265,148000,1000,26,1300000000,1900000,2400000000,18400000000,4200000,900000
michigan,midwest,1531,14,179,23,887,0.0366,355000,4000,33,2900000000,4600000,799100000,6100000000,1300000,268000
indiana,midwest,1895,12,0,14,1096,0.0302,320000,2000,19,3700000000,5200000,1800000000,13500000000,2900000,617000
alabama,southeast,0,9999,0,0,9999,0,9999,500,9,9999,9999,574400000,4400000000,1000000,220000
florida,southeast,0,9999,0,0,9999,0,9999,2000,14,9999,9999,10700000,81300000,30000,6000
georgia,southeast,0,9999,0,0,9999,0,9999,500,12,9999,9999,662500000,5000000000,1200000,249000
south carolina,southeast,0,9999,0,0,9999,0,9999,500,17,9999,9999,9999,9999,9999,9999
north carolina,southeast,0,9999,208,1,9999,0,9999,1000,28,9999,9999,9999,9999,9999,9999
virginia,southeast,0,9999,0,0,9999,0,9999,1000,6,9999,9999,46400000,351300000,77000,16000
west virginia,southeast,583,24,103,5,327,0.0179,133000,500,1,1200000000,1800000,1100000000,8200000000,1600000,347000
ohio,midwest,443,26,252,32,253,0.0086,106000,2000,63,775000000,1300000,1600000000,12300000000,2700000,565000
maryland,northeast,190,30,1,5,79,0.0085,30000,500,3,330000000,480000,532400000,4000000000,903000,192000
new jersey,northeast,9,37,0,2,6,0,1000,500,13,10000000,30000,254100000,1900000000,563000,120000
pennsylvania,northeast,1340,16,0,24,720,0.0162,329000,2000,29,2700000000,4000000,1400000000,10600000000,2400000,502000
new york,northeast,1749,13,0,25,1014,0.0291,364000,2000,9,3400000000,5200000,108800000,5400000000,1600000,336000
connecticut,northeast,5,39,20,2,3,0,9999,100,4,9999,9999,135700000,1000000000,307000,65000
rhode island,northeast,9,37,45,8,10,9999,9999,100,2,20000000,30000,57800000,438000000,164000,35000
massachusetts,northeast,107,34,8,44,83,0.0072,21000,500,9,220000000,320000,278400000,2100000000,607000,129000
new hampshire,northeast,185,31,0,5,75,0.0213,38000,500,8,360000000,510000,99700000,755400000,194000,41000
vermont,northeast,119,33,0,8,56,0.0437,28000,500,4,250000000,360000,2900000,21700000,19000,4000
maine,northeast,613,23,276,13,287,0.0832,100000,500,5,910000000,1300000,62000000,469400000,153000,32000
alaska,west,62,35,0,19,105,0.025,14000,100,0,130000000,190000,9999,9999,9999,9999
hawaii,west,203,29,3,7,114,0.0585,54000,100,0,410000000,620000,9999,9999,9999,9999
puerto rico,9999,125,9999,0,3,60,9999,9999,100,0,9999,9999,9999,9999,9999,9999
